0;1;2;3;Cfp;Wfp
AGRICULTURAL PROCESSED;NUTS COVERED WITH CHOCOLATE;ALMOND COVERED WITH CHOCOLATE;-;4,12;
AGRICULTURAL PROCESSED;VEGETAL PRODUCTS (GENERIC);VEGETAL MILK;ALMOND MILK;0,54;2030
AGRICULTURAL PROCESSED;NUTS PASTE;ALMOND PASTE;-;1,84;
AGRICULTURAL PROCESSED;FRUIT JUICE;APPLE JUICE (I);-;2,86;1140
AGRICULTURAL PROCESSED;PROCESSED LEGUMES (GENERIC);LEGUME FLOUR;AZUKI BEAN FLOUR;1,32;2523
AGRICULTURAL PROCESSED;BREAKFAST CEREALS;BARLEY FLAKES;-;2,64;1977
AGRICULTURAL PROCESSED;PROCESSED LEGUMES (GENERIC);LEGUMES FROZEN;BEANS (F);2,26;801
AGRICULTURAL PROCESSED;PROCESSED LEGUMES (GENERIC);LEGUMES CANNED;BEANS IN CAN;0,78;555,5
AGRICULTURAL PROCESSED;BEER;BEER IN CAN;-;0,69;155
AGRICULTURAL PROCESSED;BEER;BEER IN GLASS;-;0,96;155
AGRICULTURAL PROCESSED;BEER;BEER MODULAR CAN;-;0,53;155
AGRICULTURAL PROCESSED;BEER;BEER (OTHER);-;0,69;155
AGRICULTURAL PROCESSED;SUGAR;BEET SUGAR;-;0,94;865
AGRICULTURAL PROCESSED;FRUIT JUICE;BLUEBERRY JUICE (I);-;2,86;1019
AGRICULTURAL PROCESSED;BREAD (GENERIC);BREAD;BREAD;0,86;667
AGRICULTURAL PROCESSED;BREAD (GENERIC);BREAD FROZEN* (rolls frozen);BREAD FROZEN (F)*;1,31;
AGRICULTURAL PROCESSED;BREAD (GENERIC);BREAD;BREAD MULTICEREAL**;0,86;902
AGRICULTURAL PROCESSED;BREAD (GENERIC);BREAD;BREAD PLAIN**;0,89;1031
AGRICULTURAL PROCESSED;BREAD (GENERIC);BREAD;BREAD WHOLE**;0,77;887
AGRICULTURAL PROCESSED;GRAIN FLOUR;BUCKWHEAT FLOUR;-;0,87;1889,5
AGRICULTURAL PROCESSED;SWEETS;CAKES AND CROISSANT**;-;2,14;1640
AGRICULTURAL PROCESSED;SUGAR;CANE MOLASSE;-;0,78;527
AGRICULTURAL PROCESSED;SUGAR;CANE SUGAR;-;0,62;1724
AGRICULTURAL PROCESSED;VEGETABLES FROZEN;CARROTS (F);-;0,81;750,5
AGRICULTURAL PROCESSED;VEGETABLES CANNED;CARROTS CANNED;-;1,48;806,6
AGRICULTURAL PROCESSED;ICE CREAM;CHOCOLATE ICE CREAM;-;4,30;
AGRICULTURAL PROCESSED;BISCUITS;CHOCOLATE OR CREAM FILLED COOKIES**;-;1,53;2902
AGRICULTURAL PROCESSED;COCOA DERIVATES;COCOA BUTTER;-;3,16;33938
AGRICULTURAL PROCESSED;SWEETS;COCOA CAKES AND CROISSANT**;-;1,94;3468
AGRICULTURAL PROCESSED;COCOA DERIVATES;COCOA PASTE;-;3,16;24238
AGRICULTURAL PROCESSED;COCOA DERIVATES;COCOA POWDER;-;3,16;15618
AGRICULTURAL PROCESSED;VEGETAL PRODUCTS (GENERIC);VEGETAL MILK;COCONUT MILK;0,54;2030
AGRICULTURAL PROCESSED;OIL;COCONUT OIL;-;2,11;4490
AGRICULTURAL PROCESSED;PROCESSED COFFEE (GENERIC);COFFEE LIQUID;COFFEE DRIP FILTERED (L);0,55;960
AGRICULTURAL PROCESSED;PROCESSED COFFEE (GENERIC);COFFEE GROUND & PARCHMENT;COFFEE GROUND;6,71;19956
AGRICULTURAL PROCESSED;PROCESSED COFFEE (GENERIC);COFFEE GROUND & PARCHMENT;COFFEE PARCHMENT;8,29;19956
AGRICULTURAL PROCESSED;PROCESSED COFFEE (GENERIC);COFFEE GROUND & PARCHMENT* (coffee roasted);COFFEE ROASTED;6,71;19956
AGRICULTURAL PROCESSED;PROCESSED COFFEE (GENERIC);COFFEE LIQUID;COFFEE SOLUBLE;0,55;960
AGRICULTURAL PROCESSED;PROCESSED COFFEE (GENERIC);COFFEE LIQUID;COFFEE SOLUBLE POWDER (L);0,55;960
AGRICULTURAL PROCESSED;PROCESSED COFFEE (GENERIC);COFFEE LIQUID;COFFEE STANDARD;0,55;960
AGRICULTURAL PROCESSED;PROCESSED COFFEE (GENERIC);COFFEE LIQUID;COFFEE STRONG;0,55;960
AGRICULTURAL PROCESSED;PROCESSED COFFEE (GENERIC);COFFEE LIQUID;COFFEE WEAK;0,55;960
AGRICULTURAL PROCESSED;VEGETABLES CANNED;CORN CANNED;-;1,48;807
AGRICULTURAL PROCESSED;BREAKFAST CEREALS;CORNFLAKES*;-;2,64;2196,5
AGRICULTURAL PROCESSED;FRUIT JUICE;CRANBERRY JUICE (I);-;2,86;1019
AGRICULTURAL PROCESSED;CRISPBREAD**;CRISPBREAD**;-;1,35;1423
AGRICULTURAL PROCESSED;CHOCOLATE;DARK CHOCOLATE;-;3,16;20717
AGRICULTURAL PROCESSED;STARCHY TUBER;DRIED CASSAVA;-;0,27;1610
AGRICULTURAL PROCESSED;GRAIN FLOUR;DURUM WHEAT;-;0,47;1889,5
AGRICULTURAL PROCESSED;PASTA (GENERIC);EGG PASTA*;EGG PASTA*;3,15;4637
AGRICULTURAL PROCESSED;COFFEE LIQUID;ESPRESSO (L);-;0,55;960
AGRICULTURAL PROCESSED;FRUIT JUICE;FIG JUICE (I);-;2,86;1019
AGRICULTURAL PROCESSED;CRACKERS;FLAVORED CRACKERS**;-;0,93;1378
AGRICULTURAL PROCESSED;SUGAR;FRUCTOSE;-;0,78;1782
AGRICULTURAL PROCESSED;GRAIN FLOUR;GRAHAM FLOUR;-;0,87;1889,5
AGRICULTURAL PROCESSED;FRUIT JUICE;GRAPEFRUIT JUICE;-;2,86;675
AGRICULTURAL PROCESSED;PROCESSED LEGUMES (GENERIC);LEGUMES FROZEN;GREEN BEANS (F);2,26;555,5
AGRICULTURAL PROCESSED;PROCESSED LEGUMES (GENERIC);LEGUMES CANNED;GREEN BEANS IN CAN;0,78;555,5
AGRICULTURAL PROCESSED;NUTS COVERED WITH CHOCOLATE;HAZELNUT COVERED WITH CHOCOLATE;-;4,12;
AGRICULTURAL PROCESSED;NUTS PASTE;HAZELNUT CREAM;-;1,84;
AGRICULTURAL PROCESSED;NUTS PASTE;HAZELNUT PASTE;-;1,84;
AGRICULTURAL PROCESSED;ICE CREAM;ICE CREAM (OTHER);-;4,30;
AGRICULTURAL PROCESSED;DRESSING;KETCHUP;-;1,46;534
AGRICULTURAL PROCESSED;FRUIT JUICE;KIWI JUICE (I);-;2,86;1019
AGRICULTURAL PROCESSED;OIL;LINSEED OIL;-;2,11;9415
AGRICULTURAL PROCESSED;GRAIN FLOUR;MAIZE FLOUR;-;0,87;1889,5
AGRICULTURAL PROCESSED;GRAIN FLOUR;MAIZE FLOUR & MEAL;-;0,87;1167
AGRICULTURAL PROCESSED;PROCESSED GRAINS (grouts, malt);MAIZE GROATS;-;0,57;1081
AGRICULTURAL PROCESSED;PROCESSED GRAINS (grouts, malt);MAIZE HULLED, PEARLED, SLICED OR KIBBLED;-;0,57;1314
AGRICULTURAL PROCESSED;OIL;MAIZE OIL;-;2,11;2575
AGRICULTURAL PROCESSED;PROCESSED GRAINS (grouts, malt);MALT;-;0,57;1950
AGRICULTURAL PROCESSED;PROCESSED GRAINS (grouts, malt);MALT, ROASTED;-;0,57;2437
AGRICULTURAL PROCESSED;FRUIT JUICE;MANGO JUICE (I);-;2,86;1019
AGRICULTURAL PROCESSED;MARGARINE*;MARGARINE*;-;1,39;1324
AGRICULTURAL PROCESSED;DRESSING;MAYONNAISE;-;1,46;572
AGRICULTURAL PROCESSED;CHOCOLATE;MILK CHOCOLATE;-;3,16;20717
AGRICULTURAL PROCESSED;GRAIN FLOUR;MILLET FLOUR;-;0,87;1889,5
AGRICULTURAL PROCESSED;BOTTLED WATER* (mineral water);MINERAL WATER*;-;0,49;
AGRICULTURAL PROCESSED;VEGETABLES FROZEN;MIXED VEGETABLES (F);-;0,81;339
AGRICULTURAL PROCESSED;PROCESSED LEGUMES (GENERIC);LEGUME FLOUR;MUNG BEAN FLOUR;1,32;2523
AGRICULTURAL PROCESSED;BREAKFAST CEREALS;OAT FLAKES;-;2,64;2416
AGRICULTURAL PROCESSED;PROCESSED GRAINS (grouts, malt);OAT GROATS;-;0,57;2536
AGRICULTURAL PROCESSED;GRAIN FLOUR;OAT MEAL;-;0,87;2536
AGRICULTURAL PROCESSED;OIL;OLIVE OIL;-;3,27;14415
AGRICULTURAL PROCESSED;OIL;OLIVE OIL REFINED;-;2,11;14726
AGRICULTURAL PROCESSED;FRUIT JUICE;ORANGE JUICE;-;0,46;1019
AGRICULTURAL PROCESSED;OIL;PALM OIL;-;2,43;4971
AGRICULTURAL PROCESSED;PASTA (GENERIC);PASTA*;PASTA*;1,21;1508
AGRICULTURAL PROCESSED;NUTS PASTE;PEANUT BUTTER;-;1,84;
AGRICULTURAL PROCESSED;OIL;PEANUT OIL;-;2,11;7529
AGRICULTURAL PROCESSED;NUTS PASTE;PEANUT PASTE;-;1,84;
AGRICULTURAL PROCESSED;FRUIT JUICE;PEAR JUICE;-;0,48;1019
AGRICULTURAL PROCESSED;VEGETABLES FROZEN;PEAS (F);-;0,81;850
AGRICULTURAL PROCESSED;PESTO;PESTO;-;2,72;2174
AGRICULTURAL PROCESSED;PESTO;PESTO WITHOUT GARLIC;-;2,72;2174
AGRICULTURAL PROCESSED;FRUIT JUICE;PINEAPPLE JUICE (I);-;2,86;1273
AGRICULTURAL PROCESSED;CRACKERS;PLAIN CRACKERS**;-;1,35;1447
AGRICULTURAL PROCESSED;STARCHY TUBER;POTATO FLAKES;-;0,27;1044
AGRICULTURAL PROCESSED;VEGETABLES FROZEN;POTATOES (F);-;0,81;575
AGRICULTURAL PROCESSED;VEGETAL PRODUCTS (GENERIC);VEGETAL PROTEINS;QUORNE;2,27;1724
AGRICULTURAL PROCESSED;OIL;RAPESEED OIL;-;1,79;4301
AGRICULTURAL PROCESSED;FRUIT FROZEN* (raspberry);RASPBERRIES (F)*;-;1,18;748
AGRICULTURAL PROCESSED;GRAIN FLOUR;RICE FLOUR & MEAL;-;0,87;2429
AGRICULTURAL PROCESSED;PROCESSED GRAINS (grouts, malt);RICE GROATS;-;0,57;2230
AGRICULTURAL PROCESSED;VEGETAL PRODUCTS (GENERIC);VEGETAL MILK;RICE MILK;0,54;2030
AGRICULTURAL PROCESSED;GRAIN FLOUR;RYE FLOUR;-;0,87;1930
AGRICULTURAL PROCESSED;OIL;SESAM OIL;-;2,11;21793
AGRICULTURAL PROCESSED;BISCUITS;SIMPLE COOKIES**;-;1,39;1723
AGRICULTURAL PROCESSED;GRAIN FLOUR;SORGHUM FLOUR;-;0,87;1889,5
AGRICULTURAL PROCESSED;VEGETAL PRODUCTS (GENERIC);VEGETAL PROTEINS;SOY BURGER;2,27;1053
AGRICULTURAL PROCESSED;VEGETAL CREAM* (soy cream);SOY CREAM*;-;1,62;
AGRICULTURAL PROCESSED;PROCESSED LEGUMES (GENERIC);LEGUME FLOUR;SOY MEAL;1,32;2523
AGRICULTURAL PROCESSED;VEGETAL PRODUCTS (GENERIC);VEGETAL MILK;SOY MILK;0,78;2030
AGRICULTURAL PROCESSED;DRESSING;SOY PASTE;-;1,46;572
AGRICULTURAL PROCESSED;DRESSING;SOY SAUCE;-;1,46;613
AGRICULTURAL PROCESSED;VEGETAL PRODUCTS (GENERIC);VEGETAL YOGURT (soy yogurt);SOY YOGURT*;1,36;
AGRICULTURAL PROCESSED;PROCESSED LEGUMES (GENERIC);LEGUME FLOUR;SOYBEAN FLOUR;1,32;2523
AGRICULTURAL PROCESSED;OIL;SOYBEAN OIL;-;1,79;4190
AGRICULTURAL PROCESSED;VEGETABLES FROZEN;SPINACH (F);-;0,81;834
AGRICULTURAL PROCESSED;FRUIT JUICE;STRAWBERRY JUICE (I);-;2,86;1019
AGRICULTURAL PROCESSED;OIL;SUNFLOWER OIL;-;0,98;6792
AGRICULTURAL PROCESSED;VEGETABLES FROZEN;SWEET CORN (F);-;0,81;700
AGRICULTURAL PROCESSED;STARCHY TUBER;TAPIOCA OF CASSAVA;-;0,27;2818
AGRICULTURAL PROCESSED;STARCHY TUBER;TAPIOCA OF POTATOES;-;0,27;1436
AGRICULTURAL PROCESSED;DRESSING;TEMPE';-;1,46;572
AGRICULTURAL PROCESSED;VEGETAL PRODUCTS (GENERIC);VEGETAL PROTEINS;TOFU;2,27;1724
AGRICULTURAL PROCESSED;TOMATO SAUCE;TOMATO & BASIL;-;1,14;147
AGRICULTURAL PROCESSED;TOMATO SAUCE;TOMATO ARRABBIATA;-;1,24;155
AGRICULTURAL PROCESSED;TOMATO PUREE,PEELED, CHOPPED;TOMATO CHOPPED;-;1,47;713
AGRICULTURAL PROCESSED;FRUIT JUICE;TOMATO JUICE;-;2,86;267
AGRICULTURAL PROCESSED;TOMATO PUREE,PEELED, CHOPPED;TOMATO PASTE;-;1,30;855
AGRICULTURAL PROCESSED;TOMATO PUREE,PEELED, CHOPPED;TOMATO PEELED;-;1,3;267
AGRICULTURAL PROCESSED;TOMATO PUREE,PEELED, CHOPPED;TOMATO PUREE;-;1,03;713
AGRICULTURAL PROCESSED;ICE CREAM;VANILLA ICE CREAM;-;4,30;
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;-;0,87;1849
AGRICULTURAL PROCESSED;PROCESSED GRAINS (grouts, malt);WHEAT GLUTEN;-;0,57;4189
AGRICULTURAL PROCESSED;PROCESSED GRAINS (grouts, malt);WHEAT PELLETS;-;0,57;2036
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT PLAIN FLOUR;-;0,52;1889,5
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHOLE WHEAT FLOUR;-;0,36;1889,5
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS**;-;0,97;617
AGRICULTURAL PROCESSED;WINE;WINE RED;-;0,87;524
AGRICULTURAL PROCESSED;WINE;WINE WHITE;-;0,66;524
AGRICULTURAL PROCESSED;WINE;WINE (OTHER);-;0,66;524
AGRICULTURAL PROCESSED;YEAST (GENERIC);YEAST COMPRESSED*;YEAST COMPRESSED*;0,82;51
AGRICULTURAL PROCESSED;YEAST (GENERIC);YEAST DRIED*;YEAST DRIED*;3,29;
AGRICULTURAL PROCESSED;YEAST (GENERIC);YEAST LIQUID*;YEAST LIQUID*;0,50;
AGRICULTURAL PROCESSED;VEGETABLES FROZEN;ZUCCHINI (F);-;0,81;750,5
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;ASIAGO;9,59;5253
MEAT PRODUCTS;PORK MEAT;PORK CURED MEAT;BACON;5,99;6116
MEAT PRODUCTS;BEEF MEAT;BEEF BONE FREE MEAT*;BEEF BONE FREE MEAT*;25,75;15139
MEAT PRODUCTS;BEEF MEAT;BEEF MEAT WITH BONE*;BEEF MEAT WITH BONE*;17,96;10943
MEAT PRODUCTS;BUFFALO BONE FREE MEAT*;BUFFALO BONE FREE MEAT*;-;78,80;
ANIMAL DERIVED;MILK;BUFFALO MILK;-;3,57;1599
ANIMAL DERIVED;BUTTER*;BUTTER*;-;8,48;5659
ANIMAL DERIVED;MILK;BUTTERED MILK;-;1,44;1599
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;CAMEMBERT;9,59;5253
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;CEDDAR;11,21;5253
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;CHEESE (OTHER);8,93;5253
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;CHEESE BLUE-VEINED;9,59;5060
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;CHEESE GRATED;9,59;5060
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;CHEESE SEMI-HARD (OTHER);9,59;5253
MEAT PRODUCTS;POULTRY MEAT;POULTRY BONE FREE MEAT;CHICKEN BONE FREE MEAT;3,68;3960
MEAT PRODUCTS;POULTRY MEAT;POULTRY MEAT WITH BONE;CHICKEN MEAT WITH BONE;2,82;3330
ANIMAL DERIVED;MILK;COW MILK;-;1,31;1260,5
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE FRESH;CREAM;5,45;3838
MEAT PRODUCTS;PORK MEAT;PORK CURED MEAT;CURED HAM BONE FREE;5,99;6177
MEAT PRODUCTS;PORK MEAT;PORK CURED MEAT;CURED HAM WITH BONE;5,99;5798
MEAT PRODUCTS;PORK MEAT;PORK CURED MEAT;CURED PORK BONE FREE;5,99;6238
MEAT PRODUCTS;PORK MEAT;PORK CURED MEAT;CURED SHOULDERS WITH BONE;5,99;5798
MEAT PRODUCTS;POULTRY MEAT;POULTRY BONE FREE MEAT;DUCK BONE FREE MEAT;3,88;4325
MEAT PRODUCTS;POULTRY MEAT;POULTRY BONE FREE MEAT;DUCK MEAT BONE FREE*;3,88;4325
MEAT PRODUCTS;POULTRY MEAT;POULTRY MEAT WITH BONE;DUCK MEAT WITH BONE*;2,13;3330,3
ANIMAL DERIVED;EGGS & DERIVATES;EGG YOLKS;-;3,20;3270
ANIMAL DERIVED;EGGS & DERIVATES;EGGS SHELLED;-;3,20;3632
ANIMAL DERIVED;EGGS*;EGGS*;-;3,20;2562
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;EMMENTAL;9,59;5253
MEAT PRODUCTS;POULTRY MEAT;POULTRY BONE FREE MEAT;EMU BONE FREE MEAT;3,88;4325
MEAT PRODUCTS;PORK MEAT;PORK MEAT WITH BONE;FRESH HAM WITH BONE;3,44;5677
MEAT PRODUCTS;PORK MEAT;PORK MEAT WITH BONE;FRESH SHOULDERS WITH BONE;3,44;5677
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;GOAT CHEESE;9,59;5253
ANIMAL DERIVED;MILK;GOAT MILK;-;1,44;1599
MEAT PRODUCTS;POULTRY MEAT;POULTRY BONE FREE MEAT;GOOSE BONE FREE MEAT;3,88;4325
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;GRAN MORAVIA;9,59;5253
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;GRANA PADANO;9,59;5253
MEAT PRODUCTS;POULTRY MEAT;POULTRY BONE FREE MEAT;GUINEA BONE FREE MEAT;3,88;4325
ANIMAL DERIVED;HONEY*;HONEY*;-;1,74;
MEAT PRODUCTS;KANGAROO MEAT*;KANGAROO MEAT*;-;4,10;
ANIMAL DERIVED;MILK;KEPHIR;-;1,44;1599
MEAT PRODUCTS;LAMB MEAT;LAMB BONE FREE MEAT*;LAMB BONE FREE MEAT*;25,23;10412
MEAT PRODUCTS;LAMB MEAT;LAMB MEAT WITH BONE*;LAMB MEAT WITH BONE*;16,70;4362
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE FRESH;MASCARPONE;5,45;5253
ANIMAL DERIVED;EDIBLE INSECTS* (mealworms);MEALWORMS*;-;2,84;4341
ANIMAL DERIVED;MILK;MILK ACID;-;1,44;1599
ANIMAL DERIVED;MILK;MILK CREAMY;-;1,44;1898
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE FRESH;MOZZARELLA;8,20;5253
MEAT PRODUCTS;PORK MEAT;PORK CURED MEAT;NECK;5,99;6177
ANIMAL DERIVED;CHEESE (GENERIC);CHEESE HARD & SEMI-HARD;PARMIGIANO REGGIANO;9,59;5253
